pcd,pcd2,pcds,dointr,doterm,usertype,oseast1m,osnrth1m,osgrdind,oa21,cty,ced,laua,ward,nhser,ctry,rgn,pcon,ttwa,itl,npark,lsoa21,msoa21,wz11,sicbl,bua22,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,icb
AB1 1JX,AB1  1JX,AB1 1JX,198001,199606,0,394053,806373,1,S00088986,S99999999,S99999999,S12000033,S13002842,S99999999,S92000003,S99999999,S14000001,S22000047,S30000026,S99999999,S01006586,S02001249,S34000004,S03000012,S99999999,1,2B1,57.148202,-2.09992,S99999999,,S23000009,3228,S99999999
AB1 1JY,AB1  1JY,AB1 1JY,198001,199606,0,393725,806362,1,S00090522,S99999999,S99999999,S12000033,S13002841,S99999999,S92000003,S99999999,S14000002,S22000047,S30000026,S99999999,S01006648,S02001261,S34003072,S03000012,S99999999,1,2C2,57.148099,-2.105341,S99999999,,S23000009,3506,S99999999
AB1 1JZ,AB1  1JZ,AB1 1JZ,198001,199606,0,394074,806303,1,S00088986,S99999999,S99999999,S12000033,S13002842,S99999999,S92000003,S99999999,S14000001,S22000047,S30000026,S99999999,S01006586,S02001249,S34000004,S03000012,S99999999,1,2B1,57.147574,-2.099571,S99999999,,S23000009,3228,S99999999
AB1 1LB,AB1  1LB,AB1 1LB,197308,199111,0,393800,806410,8,S00090522,S99999999,S99999999,S12000033,S13002841,S99999999,S92000003,S99999999,S14000002,S22000047,S30000026,S99999999,S01006648,S02001261,S34003072,S03000012,S99999999,1,2C2,57.148531,-2.104102,S99999999,,S23000009,3506,S99999999
AB1 1LD,AB1  1LD,AB1 1LD,199201,199606,0,393711,806471,1,S00090522,S99999999,S99999999,S12000033,S13002841,S99999999,S92000003,S99999999,S14000002,S22000047,S30000026,S99999999,S01006648,S02001261,S34003072,S03000012,S99999999,1,2C2,57.149078,-2.105575,S99999999,,S23000009,3506,S99999999
AB1 1LE,AB1  1LE,AB1 1LE,198001,199606,0,393716,806631,1,S00090523,S99999999,S99999999,S12000033,S13002842,S99999999,S92000003,S99999999,S14000002,S22000047,S30000026,S99999999,S01006648,S02001261,S34003052,S03000012,S99999999,1,2B1,57.150515,-2.105496,S99999999,,S23000009,3506,S99999999
AB1 1LF,AB1  1LF,AB1 1LF,197308,199201,0,393650,806690,8,S00090523,S99999999,S99999999,S12000033,S13002842,S99999999,S92000003,S99999999,S14000002,S22000047,S30000026,S99999999,S01006648,S02001261,S34003052,S03000012,S99999999,1,2B1,57.151044,-2.106589,S99999999,,S23000009,3506,S99999999
AB1 1LG,AB1  1LG,AB1 1LG,198001,199606,0,393413,806905,1,S00090766,S99999999,S99999999,S12000033,S13002841,S99999999,S92000003,S99999999,S14000001,S22000047,S30000026,S99999999,S01006656,S02001262,S34003103,S03000012,S99999999,1,2C2,57.152972,-2.110511,S99999999,,S23000009,3391,S99999999
AB1 1LH,AB1  1LH,AB1 1LH,198001,199606,0,393469,806908,1,S00090766,S99999999,S99999999,S12000033,S13002841,S99999999,S92000003,S99999999,S14000001,S22000047,S30000026,S99999999,S01006656,S02001262,S34003103,S03000012,S99999999,1,2C2,57.153,-2.109586,S99999999,,S23000009,3391,S99999999
AB1 1LL,AB1  1LL,AB1 1LL,198001,199606,0,393832,806680,1,S00090527,S99999999,S99999999,S12000033,S13002842,S99999999,S92000003,S99999999,S14000001,S22000047,S30000026,S99999999,S01006648,S02001261,S34003052,S03000012,S99999999,1,2B1,57.150957,-2.10358,S99999999,,S23000009,3506,S99999999
