LocationId,OrganisationID,LocationPostCode_clean
d2587969-bb36-4f68-9718-1de5f95b3316,7e26597f-e458-4ced-a922-49fc04b17bc8,BB26PS
bb6febc5-b986-4a0b-b537-03a56fa321a4,b69d7b9d-998e-4be2-a7d9-3c2809b8363b,LE112ER
ce0f066c-99dc-4fe2-aedd-4a61ffcf0c15,4aacc297-5d86-4032-9b42-09ad0575b2eb,H91WR26
2a602313-0008-4b40-a345-207a553aafec,16cd29d4-e34a-49bd-b5bd-266b56a4f578,SA17LQ
ff7ba5dd-dfba-4f31-a1bc-335e3385e543,3eac8971-cdd4-4fd9-bc15-0f24cbaa439b,GL54JE
6ee14b6c-37dc-4293-9454-d01b5b66bc97,5918c36f-fb48-490a-9c6b-0f64a0670681,L48UD
1229c04f-7d28-4565-847a-62c32baf31b2,2feff59d-ca15-49a0-9100-165cded25a37,RG457HU
0df7260f-9c7e-49f3-a646-eb528abbf496,2feff59d-ca15-49a0-9100-165cded25a37,NN157HW
986801e2-19b2-4d39-b215-7e72376ad76f,e6633b0f-d89f-4e7e-92b4-7f73f059e6c5,CV59AZ
27f9031c-81e4-46ee-a8be-c84bca603f00,16cd29d4-e34a-49bd-b5bd-266b56a4f578,SA17LQ
bb26c9b8-220a-416d-977d-a6dee356957b,99b10abb-dcee-4b52-a63c-5852cce8edd3,S459AQ
163c2ce7-8a70-4010-99eb-2b29d510dd6a,be74d05d-3198-4627-b1d3-40a63ee395ed,WS109AX
4be5b3cf-a61c-4025-829e-0416a9c1244e,851d1549-6dd7-4aa3-aeb1-fb4f699f5546,ME80EQ
6349cf74-7f04-4e87-b9bc-35721d41510d,a6e3b390-2e1e-4203-a0a8-973f9221b408,PR40AP
39ac977c-f0f9-4c6e-a71c-508ea82533c5,3eefd529-51ec-4929-8955-36731d84fbfe,SK66PA
760fd376-1d15-44cd-a0f3-535bb0a1763a,8eef668d-319a-45c8-aaa4-3b6e603e7773,L357LS
539651a0-defc-46b2-bd92-c4f98afdbfb4,b69d7b9d-998e-4be2-a7d9-3c2809b8363b,WF104BJ
3e0f4813-7ae3-4ace-b6fe-7eccac65d891,b69d7b9d-998e-4be2-a7d9-3c2809b8363b,WN24DT
dd033180-c6b6-46c1-90b1-cecec0aa9fcd,03b64589-2ccd-4dbd-92fc-7e2fb25530cb,HR11TH
2a3024b1-31e1-474c-ac1e-b6cb1d2277e0,f63863e6-e15a-4d7c-bd2e-c05369d5bac7,YO179DP
8f42bbcb-b1e1-49a9-9e28-cd62137aed47,ebb33b63-ab48-4fe5-be2a-5527ed7e0f86,MK150AA
df358310-7f4f-450a-af30-3a52061c5b1c,0f18dbc7-3ca0-432a-bc88-568019e002ca,ML118QP
3881bacb-350e-4774-b4e2-e2aedb9fddf3,57afcbb5-ab1c-4158-a8d7-59489efa051e,BN133EA
997e057f-f988-4156-a4d0-0b4c745827b1,36afdf64-29ee-45ee-93ca-ed0eef9d78b5,EX173BS
4fb705ca-cef1-4b57-a24a-18ed687c88ff,34744739-3a89-47f5-8d9f-73310d3a5025,GU237DJ
88eadb23-8ad4-49d9-823f-c7cfe248d75d,59ccb050-9c99-4914-b62b-be2d1fbbd84e,TN185EF
7a6c643c-11e4-471d-adbc-607423e26186,332b86c9-cb30-4500-81d4-86abfec2f980,ML39AB
31906383-d5af-4803-86cb-4cd717b340d7,9b939a1e-0462-47c4-8f2f-89f396e12e58,S728NP
63beabd5-545b-4eaa-b073-b82377080683,59ccb050-9c99-4914-b62b-be2d1fbbd84e,TN24QS
6530cbb8-5f9d-4b54-ad54-d08ef6c38ec9,ae6143b2-9e68-4b6e-abfe-e4701c064dfa,BN112AE
051a6913-3833-482e-a61f-460bedd40023,bd6e72f9-37f3-47c5-96ec-e6a6f463132a,DN331NU
fb5d2938-6fbd-4ebf-a75e-6c5371aeeee5,aa532354-1e4d-40d5-b493-3bc939b58cfa,WF59RL
e32e2089-d8af-4a1c-a07b-5d7a65ec49f7,99b10abb-dcee-4b52-a63c-5852cce8edd3,CV49GN
aca14482-8b47-4565-bede-f2430f27536d,59e6a743-4540-412c-862d-7c2c0d150ec7,IP20QR
15a12967-adca-4f14-bce0-6259f7cf8fa8,e13ff36f-06f8-46ea-b039-60b92266835f,SO317EW
ed673bd1-9998-4afc-967a-455fcd927820,fd7c7206-1b4e-41f1-a8de-24abf58efa8c,BH257EJ
5eebaa83-55c1-47f9-abb2-bcb269d02b87,e2b2cac7-5edd-428a-b892-8f510c6a43b6,RH29DB
cc2cdcb6-05c3-43d6-bb7d-f4251f58a212,a97c8f2b-4ba3-4b18-b77b-dce09488ed4e,LS287UB
bed4156c-a419-4383-8dfd-71dd864095b9,2feff59d-ca15-49a0-9100-165cded25a37,HP234DH
84b772f5-30d0-48cf-ad77-245ae9cb918a,0804ed17-e1cf-4b22-8e9b-b851606e3814,RG27RU
75a899af-9b92-46ee-b8d4-1031c01b4619,ec8980bd-e48b-4e97-bb40-425d2a0c401a,TQ148LA
223689e2-d204-4a19-b1bc-0e3b2179e552,a6f3f04f-db77-41a7-a890-6a11604947b9,DE59QT
9de8bbcb-1c24-432d-b092-667a580c49ae,daadc87f-a2d1-4b96-8123-0a4ddac093db,TN125EN
3700872a-5ff4-4548-9d01-6a4a24d41aae,4525390c-c86e-4fce-804d-f46431fea365,TN380SE
f62e8af5-a10f-4e21-9aa4-f40fc2da2597,332b86c9-cb30-4500-81d4-86abfec2f980,DD48ER
1c9a142f-8f91-4aa8-bde5-874446029d7e,c63407c7-798b-45ab-9a82-b5091c393494,LU14BJ
ac985625-c158-4a9b-b194-adb6f76e5639,ed16f2db-cd29-4944-8357-f029bda1938b,LU27QF
bb5f3b2a-19a7-4fc9-8b1c-2f6c5d56049b,be74d05d-3198-4627-b1d3-40a63ee395ed,WS41SA
e7bc199f-7801-4420-891b-3682e03869c8,7157418a-6595-463c-8824-d943ffc3016d,RH15PA
74c6b726-b3b7-44d5-baad-01f23a93b714,ae6143b2-9e68-4b6e-abfe-e4701c064dfa,TQ12PX
819861dc-83e2-466b-b551-56e1c5e41f1c,8aea0b90-f92f-4b04-8e5e-a2ec531f6fe3,SW128NB
dd351829-d79d-4a6c-af63-98db268049c8,c94e6850-c754-473e-985a-29169d71b602,RG49RG
7173305d-061e-4be6-873e-52e825fc57c0,81846633-e174-46fb-9e95-b550f17295b0,WV24PZ
17fb436e-3a7b-41d1-a975-8451d29e7183,ca4daf40-c6eb-4ec3-be6e-0f108942dc64,NR323AA
bfcc389c-beb3-4a69-8d32-36ba313895bd,6b7ea3ef-d395-4167-8bc2-e83b45fdb474,CT92LL
48c1ebc5-8137-45b4-8105-1f3a2155fa09,89c9b63d-ebbe-4b77-88a8-086a55d8a50d,CM231EN
22d68cc7-5437-4dc6-b607-5f1858c835c5,470775e7-0b64-46df-a671-07ccd30bb9a0,SO237BE
9e9f9920-a86c-4c11-9b74-23cdcde52e32,318eddb1-dcf8-4a7f-b6e9-781100f3dd96,HU89EH
7d1a1c74-2dab-4b21-a04f-9584f9f9aac6,6a97769e-9ce8-4789-a220-b69eb29a0fbd,TN342RA
e7207278-486a-4cb8-9cd6-1260c2a40625,aeb5acfe-7c49-45c4-8825-f987a950f716,RM175RR
450b97bd-9cca-44d2-b7e2-64ca50ae402b,318eddb1-dcf8-4a7f-b6e9-781100f3dd96,ST148JT
c77628cc-255e-4d39-baa4-fc1702415bdd,a6e3b390-2e1e-4203-a0a8-973f9221b408,SK64JA
aaf377e5-3a38-4e4f-84c0-94407eb832f6,ac62dd7c-eb46-4922-84cd-2f4b1d231280,SK58BS
d92e794f-2913-4ad9-ae3c-3c75c36bdca1,01b4acb5-528f-4da9-a58f-eb71eb04e386,UB100BY
838a2016-1aaa-4a47-bcb9-9edbea6d0840,351e396c-7981-429f-81fa-c70ef97f9fc4,BL15BB
2c140c71-e0ea-4818-92a6-eba38c185824,3eefd529-51ec-4929-8955-36731d84fbfe,SK63AU
b843a3a4-095d-4ce7-88ad-e0e91f4ba975,b69d7b9d-998e-4be2-a7d9-3c2809b8363b,NG244DF
63e33621-27a1-405b-b174-62ad5df41162,8a02ddc6-2f42-4848-8540-a7c183f0983b,RG287DX
aa80b62d-32d5-43fd-8704-bc945139d617,ca4daf40-c6eb-4ec3-be6e-0f108942dc64,WA168AQ
03105ac2-0789-4d2c-b1af-8d0e323b585f,346645a7-7bb9-418e-8c56-70f8b3a2cd77,PE219EG
8ce6b7e6-d515-4d03-ad5b-77c9ac48f662,1d8e8a92-09a2-4f99-85e8-687415c9fe00,IV499AB
68cb9234-feae-4648-afd7-6a384e15195b,c7a0c429-ac15-41d4-a92e-6f24a5ef8def,DE757AQ
a434b387-5439-4286-8c7d-29d98d2e90fc,bdbc4693-4d98-4d96-b9a3-4dc0162818f4,B797SF
5c1d13ae-e0c3-40bd-ba01-0982584ae1b2,23cbd005-ee53-4634-bc9c-34495ae89667,NN56FR
aaa132fd-b495-4390-b5d3-59579dae0429,b5ce10ba-4905-47b6-a5fc-6c75f08abf6e,PR86PD
ffa95965-e351-4afa-87bf-4568f45fe258,0024651d-df55-4cda-af53-af55591f4e30,NG166AB
249682b2-e7f7-4c07-a023-d1a452343e16,afcc2f69-e61a-46e4-8560-3f57cab67010,AB548TS
41903e3c-ca11-486a-b724-070faa0c1ba6,7c68afee-9f31-473d-a11f-604d118a21e4,CV213HX
012a112e-cdc4-49b8-a795-830e16dd2456,f828d521-dba4-4a94-8720-3fd69fa9d1d1,E14NA
2063ba27-7f59-403d-95a9-e193d928433b,18c6698a-b3f4-4aa6-96e9-f5a08015e275,N17RY
7187f0ac-b8f2-4f06-87ba-472aff3afa5e,b40d4864-7711-43cc-90f5-5b64a100f918,PR269RA
5edcf390-ace9-4c85-bcf9-1a98331ff2aa,b69d7b9d-998e-4be2-a7d9-3c2809b8363b,LE42BD
17153e81-359e-4b53-92a1-b9f2627fa05c,593f84d4-f5a9-4a1e-bacd-2e36bba51072,S417HR
418e9704-a2bf-4b08-bd86-12640e2e9f3d,30e9b3ea-c37b-4939-8cb7-1c152677e1f5,TN147AG
69462ea8-bceb-4264-863c-17e700383c71,e2b2cac7-5edd-428a-b892-8f510c6a43b6,GU266TJ
50b47f5a-9eda-40d5-b157-41690b118709,9699a789-b6c3-48bb-a080-6400edb8e4f0,BH237JU
dcf5705b-43b7-45b6-91e7-72053283fd3a,cc10c478-febc-4bbb-84e9-842621ce3ce8,B650PP
329c2b64-2008-4338-b763-1c277d411a77,ff8dae68-b32c-4853-af44-54cddb18ae6e,SG49RW
716fcc71-195f-4eed-b743-dc16e641ad27,b69d7b9d-998e-4be2-a7d9-3c2809b8363b,M416NA
42159437-3125-4802-a9c7-327c9f15636f,99b10abb-dcee-4b52-a63c-5852cce8edd3,LE102AW
08424612-ea03-419b-821b-441fdec9857c,9e7368f3-43e0-4330-bd6b-3ecf55726827,DD68HD
cdf00c5e-fa09-4c9c-a7e4-63cea42ec986,43ae1eca-1304-4f6d-bc01-e7583212644c,LU71SD
2cbdfccc-4a9d-490c-b16b-6ea2c71724ce,2c446490-7c17-4cef-8420-db4dea3ecaaf,NN46JR
9e4232c5-c73c-4f6e-b6e1-d4c3194c4090,93b513d8-5135-4d59-8ff0-547845d06e53,TQ32HS
f9fabb9a-4697-4b7f-8b3e-ca54d8b1c905,144c3c08-3ada-4913-8520-5b60d545e60a,S648LU
b4aacfd1-6828-4129-bdb9-85fc8753501c,a97c8f2b-4ba3-4b18-b77b-dce09488ed4e,S715QU
59e1dab8-3dc5-4c3f-bb4c-272d90dab493,a3fbd3a7-481e-460d-80d3-58f1d010620e,M460EU
ae7b91ac-49e3-4ba5-838f-c1cf38ddd367,fe38979b-0ec8-4962-92d1-db1e9857b25f,M309BA
615af906-ea43-4a77-aa88-fb9948c27795,8b64eb03-47f0-4fd5-a0e6-318408d7b797,HR19TS
787309f5-59bf-4f73-89ce-52550e8c8303,6c189628-56ba-4874-959d-6b626a0b7d59,RH14BG
01aa9997-6ca5-457a-b304-214801e3bd48,ed16f2db-cd29-4944-8357-f029bda1938b,TW149AY
06e600c8-6148-4a18-bdd8-0f10586f7990,2feff59d-ca15-49a0-9100-165cded25a37,EN40PH
5de4e4d8-01ab-4ed6-bea1-96458a0745f5,174f8be8-948d-4910-aab9-2a06c1d14800,MK410JX
6eb05ba5-928e-4ba0-a599-f658361d3b10,5ca719be-76e1-4217-aaa0-0c8b443caafe,LS251EP
6893503e-b17b-4fa2-b8d9-66a9840af483,f784beac-ef01-46f0-9ba9-c7e3bcfc0df8,WF76HD
ecc8124b-7989-4c5b-b9a4-af12079db5c8,ed16f2db-cd29-4944-8357-f029bda1938b,IG26PS
ffb6f0c8-18c8-4a02-aff9-9270a406ce30,f56db364-2814-43b2-b049-62edcbd20912,BR87FP
813b0370-6fff-4276-b72c-6079b4f054d4,bd6e72f9-37f3-47c5-96ec-e6a6f463132a,M245QH
9aa47df7-94c5-4387-9b34-9b6cb58c0702,593f84d4-f5a9-4a1e-bacd-2e36bba51072,DE236AF
db368f73-54ed-4218-bf6d-ec82597fa7b9,ca4daf40-c6eb-4ec3-be6e-0f108942dc64,MK402DW
4a934f40-35bd-481e-85a1-5c9bd6ccbe4d,ac5d475e-0f23-4ea7-87ae-a67bbbc4e8fd,LN65UW
3fe3a937-035e-44a0-920a-aec04d334e82,f828d521-dba4-4a94-8720-3fd69fa9d1d1,CH421NZ
e6dcf7b6-5f53-450d-a94f-cc28db6b6280,ac5d475e-0f23-4ea7-87ae-a67bbbc4e8fd,SK176XJ
a28dad26-f4ad-4fa2-91cb-69b300bc41b0,e2b2cac7-5edd-428a-b892-8f510c6a43b6,CM144NA
3742b35d-1fe2-4334-8341-eb5b4b725e65,f58e2a1a-f916-41a7-a463-0a06a907a3ab,NR136BA
53353dd7-9811-4630-bdd8-2ceb88969709,09f98d83-2bc5-4c1d-9dc0-02992a8b42b9,EX135AF
851dd272-fca3-4f0b-abc6-a10900aa0f24,7c68afee-9f31-473d-a11f-604d118a21e4,CV79DA
17c4d76c-ef5d-42ef-8abe-cdf782161320,171d0ff1-292e-4730-aaca-fe83b5c57dd0,TA187AF
0b709c17-b0a2-4b3e-98fa-a64a85f0999f,ed16f2db-cd29-4944-8357-f029bda1938b,GL539ER
fdc79291-325f-4a69-91ca-3b3b0a5330eb,b69d7b9d-998e-4be2-a7d9-3c2809b8363b,HD94AG
f6279a26-a370-4918-a00f-7bf300bf5f08,4d3a4fea-42ac-4174-92b1-1699c6504298,TN355NB
4ead0137-1699-461f-9088-f6e4658da804,6f985cf6-5ae3-428b-b56a-a36f39f59c68,M345GB
2ce8ff8b-1c12-49c2-b4ed-7249eb496398,ed16f2db-cd29-4944-8357-f029bda1938b,NG250TX
9f1ef16b-a564-429c-aae6-8aff22827f6e,8a02ddc6-2f42-4848-8540-a7c183f0983b,BN158RB
ab2f585a-e1ee-4fdd-b186-7ab59bc87b48,6a8376c6-0503-4a13-abc4-22b9c1af9d06,TN235LB
8f8f48e8-03d4-4e75-9b1b-196e06d1736b,89c9b63d-ebbe-4b77-88a8-086a55d8a50d,IP286LF
d848836e-4633-46eb-8923-7588499f4835,ff8955c0-59f0-4161-aa4a-ca114fa01238,NG172AH
3e0c2484-ee61-41ab-abe3-9a956ece4c44,6dfda7a6-b9dd-4b44-b17a-2be15e8e984f,PR74AZ
a67dc79b-3648-41ad-8838-9a3111927666,01b4acb5-528f-4da9-a58f-eb71eb04e386,RM79BQ
99a764bb-4fbb-437f-bfd1-c437d86a192b,e86849c8-d3a9-48ca-852a-cbbfa589155b,IP257AQ
1dce11f6-d7bb-448f-b124-8aa904451e9d,0131c8ce-6d0b-4888-a420-5adf3e08990f,BH255PR
6a34ac56-c10a-4aa5-b33b-1c8c1ae300d0,2feff59d-ca15-49a0-9100-165cded25a37,WD174QY
32d61069-23b6-46b8-86eb-7573b1234858,b69d7b9d-998e-4be2-a7d9-3c2809b8363b,SK58HT
8e42a3f4-8ac2-4c4a-8b18-07b7c80bf8c4,bd6e72f9-37f3-47c5-96ec-e6a6f463132a,S403BQ
9ac6ff21-dcd3-4480-baa0-f4dd9e22d9e2,318eddb1-dcf8-4a7f-b6e9-781100f3dd96,FY42HE
7541b5de-98b8-4e2c-85be-7d1e632112d1,b69d7b9d-998e-4be2-a7d9-3c2809b8363b,LE77NL
ff58aceb-a517-4281-bba7-979eadc7d59d,9b2e5984-a581-4a3a-accf-66c61c1454a1,CT32HN
666cc3bc-9766-48b2-bedd-8e08457ba8ba,1053f381-72ca-4e62-b9e8-3efde62b0da3,NK
d828dfb3-16af-489a-a1e8-ce87e3d72869,59e6a743-4540-412c-862d-7c2c0d150ec7,CB225JU
50d1b731-247b-4697-ac97-d337be827f2d,9a134f5a-3d54-4bff-83c9-54a688061f31,TQ123DZ
3d0f146c-a00f-4805-a477-18faea199a53,cf60b4e0-00c4-4b5c-a86e-a93764d1e01d,DE560QW
89749400-0f35-4883-a6af-03598c471a81,26448b3a-72f0-4d2f-976e-85793dcdb7fd,SW114DS
1456511a-d2d3-468f-a495-96835d7b915f,ac5d475e-0f23-4ea7-87ae-a67bbbc4e8fd,KY120AB
9d6791a8-7be7-4511-b67a-4d01e93da283,d1b182fc-523f-48fa-825e-512c19b5df70,EH165LP
2b6ce59e-ddac-478c-8e50-e9a4a2a78a03,bd6e72f9-37f3-47c5-96ec-e6a6f463132a,S446XP
dfed7629-6f36-4817-8941-65b1651cbfcd,07b2aafe-cb44-44a5-add9-29eb579f8a73,BT808EH
ea9ef77d-b959-4297-82ea-970cd1627718,18c6698a-b3f4-4aa6-96e9-f5a08015e275,NW52PW
21c98728-08f2-472b-aad9-c34c34d472f3,a97c8f2b-4ba3-4b18-b77b-dce09488ed4e,HU54DT
0a3f39ed-791c-44fd-a464-526eae9c5d7c,59ccb050-9c99-4914-b62b-be2d1fbbd84e,CT187SS
