LocationId,OrganisationID,LocationPostCode_clean
66413a67-03e7-4950-bcd6-2a8bf82b974a,adb453a7-d296-4727-b6a9-3a9ae6c1f96e,CT215QP
5ea6ef96-5cb9-4a30-bf0f-7e9d9de065d8,4ec3aba3-dae9-4213-b430-483e0b7ae8c7,RG237AP
58acb77b-ebb8-4421-bc38-7581201acd77,96013d16-76ae-4891-b39d-cf58d64877bc,CT215QW
6f5a20bf-bef7-404d-be5b-28e0afa2be53,9010c1e8-491b-4cee-9bf4-606c2cb6706f,NR316DJ
be5574a1-7c9e-4288-b34a-b464afec76b8,9a03f0ef-7930-4a77-b819-4ba454182b0d,CV364GX
0a32da72-ef4c-4ce6-8bcf-4ea77b07c5c4,1d8e8a92-09a2-4f99-85e8-687415c9fe00,PH364HZ
4f927085-38ae-4451-894b-76a84c9e71f5,a97c8f2b-4ba3-4b18-b77b-dce09488ed4e,DN158EA
c8d51c3c-d2e4-48c6-a782-57d0c9ded9b9,472103d3-cd8a-42c1-8afb-9e1138a395fd,EH395NT
a535ef08-010d-4e03-b180-d072727d6886,fd7c7206-1b4e-41f1-a8de-24abf58efa8c,SL68HP
8260dcd3-0bc5-453c-be8e-070c634e5c72,c8377795-2a9c-44bc-8947-48ce6f52b533,YO225EG
47fff85c-139d-4e73-9cd1-51ed16c26d35,f63863e6-e15a-4d7c-bd2e-c05369d5bac7,FY51PQ
89527662-70ea-4518-b2f5-73bfa6ccf1a1,fd7c7206-1b4e-41f1-a8de-24abf58efa8c,SO225HD
8158877a-8845-4041-b550-e41f18a69065,91729ceb-5a2b-4563-848a-264881de0813,NE49RJ
048cf37b-83a3-4835-b1c7-5548a8b3fda4,95a23bbb-7114-4d81-83d9-c097a2b356dc,SA113DD
1ad0d113-dd69-48e2-a266-0fb4d3a736b2,fd7c7206-1b4e-41f1-a8de-24abf58efa8c,PO333BG
c548eed2-4ca6-4eba-8146-1f7f5f8f8b3d,ae4e68e7-fe02-411c-911d-e78fd436f7f3,WR102DY
cd4014b0-a1f1-4b68-b18e-37ad62a3cd7f,1d8e8a92-09a2-4f99-85e8-687415c9fe00,IV262HZ
6e18ac7a-f203-4a25-855d-89af1769615c,c92c166d-e4b1-4a38-8db1-9709bbd7a050,HP136SR
68351ac3-e777-4e91-84b0-4e84bf31b68c,ac5d475e-0f23-4ea7-87ae-a67bbbc4e8fd,DN345AD
deb1cf02-8f90-4d37-9558-14d96864c226,0a237fe4-a126-4227-be13-ea49662ac865,PL52EW
6ab58086-61a7-4423-b6dd-07e934935a4c,298a5c16-32d0-4f86-a0e5-1ff8ae74b915,YO126EA
8360e742-9cfb-4027-a53f-ca62d6c3ad13,5407533b-c849-4801-b432-c0dcefbc8835,PH494JS
64f531a3-eb4f-43a6-ada0-a7af5c8849c4,86a8d32e-26d9-4059-b183-2ef6a884f3b3,FK54RB
82f14343-46c7-4df6-a315-d099b2ed0f18,a5868207-715d-46a6-a0b5-2b3ef55f29d1,EX81JX
c936b214-c831-4f14-8f76-971c72a18c1e,80e7cec4-f674-49c9-86e3-f4c14f0f04a7,TN288QX
4de305cf-1373-4b0d-96ce-3c1557189632,db65b640-3fb8-4b26-919b-bd381be9f3d0,CB259ND
a06699c7-9ae1-4e83-82c2-76cd4f75086a,9955fbee-4168-4a1c-b4a6-dd9aeae04a85,HP25NP
e63f60fa-2854-4e71-86a2-434a84670255,d4beb993-853b-4cd1-a327-1087014360f0,HR14TQ
12ed2992-d301-4fa8-bcfd-d19b7a0dd276,9e928578-9ff8-4920-9149-72d58ff76d40,GL502NF
78f1211b-020f-40fa-9218-65cec480a1bc,8e51bb0d-d212-47e1-8b8b-eb8891380bff,CT79JX
d2b2eebc-4181-465c-a493-a47e18241c0f,8cb02c14-4c75-47df-abea-a7715cbf234b,NG157JU
0410f0f7-ae3f-4cd9-9d2b-dd60a0a2d112,ac5d475e-0f23-4ea7-87ae-a67bbbc4e8fd,LN21RQ
d1708d7d-4102-4c71-ac63-d014b92f915c,b230e5c2-7dcb-446e-b5ed-2d16334fbaeb,SA29HU
b995b7d9-3a02-4ddc-bd24-8897902677d3,4a2413b6-7673-4a18-824e-9d1c1c1bc894,EX388DL
4818a60d-3f85-4a1c-87a3-f0dfd2229da1,f3c17994-a8d3-4392-96b2-0f5d73d86cfd,S713DD
4c7bf024-368b-4a6c-8810-848ccce1b3e9,031e8f5c-5b4a-4e7d-808e-605b38a3328e,LS251NW
035c5fd2-5e74-4fb1-b1ea-78a96514dae8,ac5d475e-0f23-4ea7-87ae-a67bbbc4e8fd,DL170EX
6a6c6d18-bf64-487e-a65b-7a5eda4678a1,66034c15-813e-40e2-9965-0580408eeaaa,OX184EX
6c84a46c-df1b-4a32-9e4e-fbeb97ad35ec,872d01b8-fee2-4cb1-a37a-d77d81851332,B145LD
8063f99c-b981-4d25-b6ef-3a7d326663e2,174f8be8-948d-4910-aab9-2a06c1d14800,PO77RX
47910022-2ff8-4910-adc9-072511a4a0e4,3d27ae51-4b83-47ab-a363-fdad727f0abe,NN73HQ
59aea55b-4b54-48bf-bac4-1599c5afe950,ebbb8ab9-29fc-4f74-a647-d6def77c9459,SL62SJ
f294a0ea-4792-4d6a-a749-9d06048ff016,9fa341d5-64c2-426a-b797-02f8f7e4fcb7,DN364RZ
77c45ea6-566f-4311-9cd5-9919bcacb669,ac62dd7c-eb46-4922-84cd-2f4b1d231280,SK71JZ
5fe11c63-1216-4433-9fc8-348ada6de786,9805f7f1-6273-4633-9498-a9a5255159ad,PO40PP
7f68e30f-df94-4601-97d7-1424e367a2ca,fd5b4db0-7e3d-4065-854f-c311c19f6eab,SO238DX
147a1f6f-b648-425a-b664-a59b930181be,a5868207-715d-46a6-a0b5-2b3ef55f29d1,TQ26PB
bdbe8e98-28a9-4542-a726-bf26bf764efa,1ce12b55-7819-4339-a0a0-a227cc831cab,PO20HX
db1787b4-751c-440f-8d49-58f8625ee994,4128824b-ef1a-4915-82be-0a594dbb26c3,SW35UA
810b7ad4-c6d7-457a-97e2-b599104878d4,e6cd30fc-cd37-4384-abc2-f3dc8d30bd33,S410LW
32da6ecf-13c4-43b3-8cb2-4c41a4eb066c,7157418a-6595-463c-8824-d943ffc3016d,SP61JW
d397f3f2-5226-49e0-ac53-4208be7c76e8,26058464-ff9c-4708-9746-1e8c6adc9140,RG279AN
eff0d37a-b44f-4de9-a31c-a1b048847bfc,690e5bc0-d480-4072-9f33-762261f28b5a,BL14DP
784f998f-098d-4652-a640-85e84a4f7def,ff8dae68-b32c-4853-af44-54cddb18ae6e,NN144DF
9bc94dd9-66ad-4b36-b8f8-5e0cecd0fc8a,aae471b2-74e7-4363-b74d-e994408e21b1,PR90TS
fa2660b6-0bcb-4b7c-94e2-476cb00539a4,e3805d41-51d0-4277-8375-f3c1b8899b43,ML126HA
47789e73-96e4-4e2c-bb0d-5cf192a6a673,fd90d8eb-b012-411e-b6cc-209d505493ca,GU342ND
970a2bb1-5aaa-4ccf-94c8-d3e9f638242c,f56db364-2814-43b2-b049-62edcbd20912,SE39TU
95ed4759-4708-45a3-b804-fa5ea553e772,f63863e6-e15a-4d7c-bd2e-c05369d5bac7,RH136HA
be26babb-b7dc-420e-a77c-06235b6ed386,351e396c-7981-429f-81fa-c70ef97f9fc4,LE39LG
1af3c75a-bea2-4ad9-ade8-7ff1f5c407f2,07b2aafe-cb44-44a5-add9-29eb579f8a73,SS08HT
0c61db33-f55c-48e0-b7b3-4d08484c7819,c63407c7-798b-45ab-9a82-b5091c393494,DL106EB
876af818-e75d-4874-8e08-17a309a7e0cd,a3535dc3-c898-4b26-935a-efbfec6f90db,M230DJ
4f86bce7-9a29-4fd4-843d-729672fa9255,86a8d32e-26d9-4059-b183-2ef6a884f3b3,KY58HU
13643e98-cbea-4f6d-9777-81060ce0a1c1,b40d4864-7711-43cc-90f5-5b64a100f918,HU203XE
360f32d4-114f-41c5-8902-c1af218450af,afcc2f69-e61a-46e4-8560-3f57cab67010,DD76AB
e6e49c12-0b57-4d78-8037-4c46b1197dca,1053f381-72ca-4e62-b9e8-3efde62b0da3,NK
c39e8172-d401-4139-a6f5-2445b89c2d66,9cd66c0f-e828-4ddd-96af-89f6d0ca853f,CV79GA
129e4ec3-66f9-4ce5-b395-1c6205df5e90,318eddb1-dcf8-4a7f-b6e9-781100f3dd96,FY42PT
6a88d403-bc81-448e-b289-3a7a3c71edf5,936c2762-1331-45a7-a96a-213eb0d50985,GL539AX
c29bb2a3-911f-42e1-9277-2dd990a7f469,fe38979b-0ec8-4962-92d1-db1e9857b25f,OL28SP
62102189-3555-4f8a-9ad5-87c595cf30f9,a5d520c6-e981-4b8f-88cb-d9fbe6679924,SO322JZ
f21b1cf1-8aac-4291-aacb-fe6e1a237af9,9fa341d5-64c2-426a-b797-02f8f7e4fcb7,DN332AD
ea5d9a79-22e1-4168-8960-ec5b208d3fbd,626691f9-2b8b-48e0-a68b-99ba16d9ba01,FY41RG
92729f48-1f02-4791-afa1-6ce1eb45e6e9,b29ea102-1636-4705-94ec-4e5f1db58b34,TQ126AH
5afab32d-1176-440a-8051-507a8820d267,e2b2cac7-5edd-428a-b892-8f510c6a43b6,KT169FS
06b61a08-60d0-4cd1-ba05-19d465e939c6,47f42957-88a5-4367-875f-95e272ccaf67,KY154HY
0a6b48c3-79d6-4a68-9923-bebc895c1856,afcc2f69-e61a-46e4-8560-3f57cab67010,PH15HS
c26daff5-ddbe-492b-aae3-7e89c6fe3f41,9182fbe7-c12f-4156-bf59-89ecffa821d2,IP20DG
5269fcce-4260-4bb0-a8f1-a61d92696b08,afcc2f69-e61a-46e4-8560-3f57cab67010,DD112BW
591c14c9-5fb3-4b40-a410-9af742a2b078,9b939a1e-0462-47c4-8f2f-89f396e12e58,DN124TA
c3578d44-6a66-48e7-b06f-89b2fa42d6a7,6c6973a8-2673-4dcf-8c63-df25fc45cebb,TQ58BL
0d0b3f55-abf6-4185-85ac-4532c890b3cf,f828d521-dba4-4a94-8720-3fd69fa9d1d1,LE80LG
0a9b68ae-2dd9-4a8c-9ebc-7d5ec64c2634,d234aac7-1aaa-44a0-8f75-4d87b7129a3c,BN175HA
e0768f00-b458-49be-8a05-782224a355a9,4faace32-b830-479b-8f42-96d88ae5e7b7,YO89BT
551c4bc8-a1c8-482c-bee8-8a5617274132,c22074c4-c8af-4de3-b4ff-8ad7c50352f7,DA37RY
e3319357-3144-43ea-a4b6-539e2e94464c,26551569-3779-487b-a8c4-e70b4367293d,OL26AB
4ee7da94-3167-4f61-80c1-f9e6655c15d5,a97c8f2b-4ba3-4b18-b77b-dce09488ed4e,WF13PB
e0f03e59-5255-4ab2-bf16-2fed7cdef12d,a95315a3-451b-4243-b3a7-36a3072aecf6,W42QE
9ccd52ea-0fd2-483e-bcdb-9d4770fc300a,f828d521-dba4-4a94-8720-3fd69fa9d1d1,BL82NR
09e32f71-0fa6-47e5-a7f2-0bba77ff7f0d,05a3bc0b-f120-430c-8038-62f398191f4d,BR11LT
d6225d6e-ba11-4fd1-bd50-683e1646241d,351e396c-7981-429f-81fa-c70ef97f9fc4,CH53JD
60aa5492-b8a7-4dcb-b46a-005cd4465057,a97c8f2b-4ba3-4b18-b77b-dce09488ed4e,WF127AH
be3423b0-90b8-40ca-80b7-156b7e04f6ab,81846633-e174-46fb-9e95-b550f17295b0,ST36ES
58fe6313-4831-4753-8fa7-2b30887bced8,db65b640-3fb8-4b26-919b-bd381be9f3d0,RG424AB
33756888-3533-4cad-bffa-d6484af89d1c,318eddb1-dcf8-4a7f-b6e9-781100f3dd96,S636EN
5da46671-d851-43ff-bcd0-14bd93a51cb5,c94e6850-c754-473e-985a-29169d71b602,GU336JA
6f013e0e-f657-4e0a-bde6-a5b4e4918f65,3d399980-1b8c-4140-b117-7f1eaf25c1ef,CB61LX
1ed2769c-aa14-48e3-9cd1-a9fbd4060491,470775e7-0b64-46df-a671-07ccd30bb9a0,SN83JY
2705d424-bda0-449c-9a8a-9ce4ed948c2a,fd7c7206-1b4e-41f1-a8de-24abf58efa8c,PO36GN
7521b0f2-6a37-4d94-93e8-f651d3ef5acf,bd6e72f9-37f3-47c5-96ec-e6a6f463132a,DN331NU
3b89f2f2-8d64-4267-8772-e23da6f0bbe4,7e51af64-e36d-452c-b875-d8e35272390b,SO192HP
64bd2be9-f075-45d2-93b9-46f5994b4525,3d399980-1b8c-4140-b117-7f1eaf25c1ef,BB71BQ
1f9bdff4-e99f-47d9-9288-3ac019dbd553,b54a1a03-12fd-4876-afb6-0dd17114c1a3,IP38SZ
a5487def-ecd5-4c8d-a4ca-825f6ef5de18,8a02ddc6-2f42-4848-8540-a7c183f0983b,GU528EJ
6524aacf-de77-4b81-9a27-c997c4a49c6b,59ccb050-9c99-4914-b62b-be2d1fbbd84e,TN157RY
765a499c-f4aa-4122-8ec5-fce9edbd474f,77923f6b-7349-4686-8fa3-c3e4d5d29cbd,IP124NB
b6773e3c-a628-4108-8424-6449adae2146,7c68afee-9f31-473d-a11f-604d118a21e4,CV376PH
9c4df8ce-195a-4d82-85d3-d64f2508b65e,c63407c7-798b-45ab-9a82-b5091c393494,LU48RT
2f5ccf7c-9c45-4a69-87db-16cf2ff9c765,13df52eb-c61d-48c9-968f-b99845c11fe5,AB389QE
30fe68a5-dfba-4e2e-8bad-da85d4e392d2,5d3fc143-34f1-44d9-bf08-0a524494c57a,SS08LL
c3850957-bfc9-4696-beee-36b411afb640,f828d521-dba4-4a94-8720-3fd69fa9d1d1,LE131RH
479bf735-e6c5-46a7-8e8c-0c352d373f8a,42ca35c6-3763-4a68-8e61-e6bedfafad49,TN290LE
533be87f-e287-4393-a1eb-016d668b6ccb,9182fbe7-c12f-4156-bf59-89ecffa821d2,CM94NB
6f69a159-1191-4316-ac88-ee48a481549e,f9070aae-61cf-49a4-b98b-3ee88f0c5073,B296TG
50c3d9ef-3a3a-4954-abd4-7e50dcb8b1de,56273324-898c-4675-9b04-79d2800be3c7,NW118PT
c36836b6-367f-4363-9dba-da9cc542933d,f63863e6-e15a-4d7c-bd2e-c05369d5bac7,FY69EP
32fd39ab-a3ab-409d-b260-556fdf483158,fd90d8eb-b012-411e-b6cc-209d505493ca,GU147AB
6e04abcc-da70-4b51-9d15-bf6977221835,07b2aafe-cb44-44a5-add9-29eb579f8a73,CV312JS
f6690644-770f-4b44-97c8-d1a84783b5f9,43ae1eca-1304-4f6d-bc01-e7583212644c,SG188JU
2a206f1a-480c-4367-ad61-8728ae6a7499,2feff59d-ca15-49a0-9100-165cded25a37,AL87SR
6813233b-457b-4c80-b7e5-8ece4a8ac291,14fc0940-59f8-4dd6-bd5b-46cf7656c015,CT119TS
7f62fbf4-8f2c-4d3a-a48b-7c5129831c9a,07b2aafe-cb44-44a5-add9-29eb579f8a73,NG197EL
5eb1d1f8-20f5-4fd6-83ab-1c7f7529f9db,f3c17994-a8d3-4392-96b2-0f5d73d86cfd,S703PJ
09ab122b-a6bd-4b50-b8e1-603a0ea9278e,09d5fb74-3a2d-4032-beb2-89146d9c5ba1,LA139JY
1d81d2f5-98a4-4534-9fed-b381e0bed86c,a6f3f04f-db77-41a7-a890-6a11604947b9,DE76DX
3359401a-751d-4579-8ae7-8b5d36d5a8a3,4c59ae4f-3668-4b19-bbb9-c9e54ce5d978,GU14LY
45a1b8d5-5e06-4101-92a7-6c62cdc95a7b,4525390c-c86e-4fce-804d-f46431fea365,CT215ET
3e2da09f-298c-43a7-823c-e3c9cadc5c53,7157418a-6595-463c-8824-d943ffc3016d,BH64AD
f7fc5fe5-9d00-4b89-92cf-9b95a6537889,06905a11-3fe2-4161-a4d5-5f896598f744,TN395HL
0f5b8924-8b3f-4c57-8836-73d57af362b0,214ab3f7-6b6b-4467-a5b2-20a0745839b5,CM63HB
1dc595a0-3e24-4a46-8828-f9eaee7f5e9b,61595759-e05a-42e6-80ab-2780e381514c,SY109NX
6f336c78-0c02-4aff-9ff0-a990ab4cd30b,67945218-559d-43d6-9721-04dc97f45c6e,S419EB
973888eb-3859-4360-9c79-1dd2ff886c06,e42d6e12-9a73-4e5b-bb19-ca162a5b6d68,SA32AN
e8a12fc4-a819-41fc-86f8-be43332d5b02,91729ceb-5a2b-4563-848a-264881de0813,IV305JG
a5059a79-3662-4bcd-ad8a-78cfcac9773a,51300cbd-a11c-4f99-8b02-27d692374096,LE97EP
54e70f50-0c61-4bbe-8728-1206cd189b1a,10135fb8-f2ad-4842-9bdf-2bae92450afe,BN212BY
48351eed-ddfd-4aee-a4ae-998993d9c881,8c3a1f86-1f44-4dbe-b2ba-b410c2f449fe,HU129NN
a65fb8a9-ed5d-4b6a-ac26-e1e200da0b46,a7aae440-7662-4fe9-ba2b-2980b3b8366c,HP108NX
73da5e0a-247f-4939-962c-3f90353a7377,ae6143b2-9e68-4b6e-abfe-e4701c064dfa,BN424TP
